segment,positions,total_bought_usdc,realized_pnl_usdc,roi_pct,wins,losses,win_rate_pct
Crypto,20,3756198.4292320004,62617.034902,1.67,19,1,95.0
NBA,51,2521643.697443,-23775.186531999992,-0.94,40,11,78.4
NCAAB,1,434030.741934,269099.059999,62.0,1,0,100.0
NFL,19,5674539.807502,327331.16310700006,5.77,15,4,78.9
NHL,10,279065.56223000004,10811.053099999997,3.87,6,4,60.0
Other,489,69077510.79544601,324958.2907480004,0.47,335,154,68.5
Politics,7,13804171.149999999,1.78373,0.0,1,6,14.3
Soccer,70,6339307.274533999,1325034.78289,20.9,50,20,71.4
Sports,2,1517044.5699999998,-20487.837991,-1.35,0,2,0.0
